	nan	nan	nan	nan	nan	12.771	13.251	nan	nan	nan	13.791	13.881	nan	nan	13.041	nan	nan	nan	nan	nan	15.031	nan	14.701	14.591	10.971	16.041	16.121		13.781	11.861	14.761	14.301	15.421	14.641	15.631	16.171	11.631	16.451	15.901						
	nan	nan	nan	nan	nan	12.721	nan	nan	nan	nan	13.561	13.871	nan	nan	12.941	nan	nan	nan	nan	nan	14.921	nan	14.631	14.611	11.061	16.001	16.041		13.721	11.901	14.681	14.251	15.341	14.571	15.601	16.071	11.611	16.321	15.831						
	nan	nan	nan	nan	nan	12.741	nan	nan	nan	nan	13.521	13.831	nan	nan	12.841	nan	nan	nan	nan	nan	14.821	nan	14.611	14.631	11.031	15.931	15.941		13.671	11.931	14.571	14.171	15.361	14.501	15.551	15.981	11.621	16.171	15.771						
	nan	nan	nan	nan	nan	12.671	nan	nan	nan	nan	13.471	13.731	nan	nan	nan	nan	nan	nan	nan	nan	14.701	nan	14.511	14.661	10.911	15.881	15.861		13.571	12.041	14.501	14.081	15.381	14.441	15.511	15.901	11.581	16.031	15.721						
	nan	nan	nan	nan	nan	12.601	nan	nan	nan	nan	13.411	13.601	nan	nan	nan	nan	nan	nan	nan	nan	14.611	nan	14.461	14.701	10.821	15.791	15.781		13.471	11.991	14.421	14.011	15.401	14.381	15.461	15.911	11.511	15.901	15.651						
	nan	nan	nan	nan	nan	12.621	nan	nan	nan	nan	13.351	13.471	nan	nan	nan	nan	nan	nan	nan	nan	14.511	nan	14.421	14.701	10.911	15.801	15.691		13.411	11.921	14.321	14.001	15.421	14.311	15.411	15.921	11.511	15.761	15.581						
	nan	nan	nan	nan	nan	12.581	nan	nan	nan	nan	13.371	13.341	nan	nan	nan	nan	nan	nan	nan	nan	14.441	nan	14.381	14.741	11.011	15.741	15.611		13.441	11.851	14.231	14.071	15.431	14.251	15.391	15.911	11.501	15.621	15.501						
	nan	nan	nan	nan	nan	12.471	nan	nan	nan	nan	13.381	13.231	nan	nan	nan	nan	nan	nan	nan	nan	14.361	nan	14.331	14.741	11.231	15.721	15.521		13.431	11.801	14.191	14.101	15.431	14.171	15.361	15.871	11.391	15.511	15.441						
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.471	13.101	nan	nan	nan	nan	nan	nan	nan	nan	14.311	nan	14.311	14.681	11.381	15.691	15.431		13.371	11.781	14.131	14.091	15.421	14.101	15.321	15.861	11.271	15.411	15.421						
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.571	12.961	nan	nan	nan	nan	nan	nan	nan	nan	14.281	nan	14.281	14.661	11.501	15.671	15.341		13.291	11.781	14.091	14.091	15.411	14.031	15.271	15.751	11.251	15.321	15.401						
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.651	12.811	nan	nan	nan	nan	nan	nan	nan	nan	14.261	nan	14.221	14.611	11.641	15.651	15.261		13.191	11.811	14.061	14.081	15.371	13.961	15.211	15.701	11.301	15.271	15.391						13.283
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.721	12.661	nan	nan	nan	nan	nan	nan	nan	nan	14.231	nan	14.191	14.601	11.791	15.631	15.171		13.121	11.901	14.041	14.041	15.211	13.891	15.171	15.661	11.291	15.231	15.351						13.183
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.801	12.521	nan	nan	nan	nan	nan	nan	nan	nan	14.171	nan	14.201	14.561	11.931	15.631	15.111		13.041	11.931	13.991	13.991	15.141	13.831	15.121	15.611	11.281	15.191	15.311						13.088
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.851	12.511	nan	nan	nan	nan	nan	nan	nan	nan	14.111	nan	14.221	14.531	12.071	15.621	15.071		12.971	11.921	13.931	13.971	15.081	13.781	15.071	15.581	11.341	15.161	15.261						13.033
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.871	12.461	nan	nan	nan	nan	nan	nan	nan	nan	14.031	nan	14.251	14.511	12.101	15.621	15.011		12.891	11.861	13.971	13.971	14.991	13.721	15.001	15.561	11.371	15.141	15.211						12.988
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.861	12.421	nan	nan	nan	nan	nan	nan	nan	nan	13.871	nan	14.331	14.511	12.131	15.611	14.911		12.821	11.801	14.011	14.001	14.931	13.651	14.921	15.531	11.361	15.141	15.171						12.888
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.931	12.391	nan	nan	nan	nan	nan	nan	nan	nan	13.711	nan	14.391	14.541	12.251	15.621	14.791		12.771	11.851	13.971	13.961	14.831	13.611	14.851	15.501	11.391	15.151	15.121						12.818
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.871	12.331	nan	nan	nan	nan	nan	nan	nan	nan	13.631	nan	14.391	14.571	12.361	15.641	14.701		12.711	11.961	13.901	13.911	14.761	13.551	14.791	15.481	11.371	15.161	15.041						12.728
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.801	12.301	nan	nan	nan	nan	nan	nan	nan	nan	13.521	nan	14.401	14.591	12.421	15.661	14.661		12.671	12.081	13.841	13.841	14.671	13.511	14.721	15.461	11.361	15.201	14.981						12.668
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.761	12.271	nan	nan	nan	nan	nan	nan	nan	nan	13.441	nan	14.411	14.591	12.291	15.681	14.631		12.611	12.171	13.681	13.761	14.601	13.461	14.671	15.421	11.371	15.201	14.911						12.613
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.711	12.251	nan	11.841	nan	nan	nan	nan	nan	nan	13.381	nan	14.421	14.561	12.181	15.721	14.631		12.561	12.231	13.501	13.671	14.521	13.411	14.651	15.381	11.401	15.181	14.841						12.603
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.721	12.161	nan	11.951	nan	nan	nan	nan	nan	nan	13.331	nan	14.401	14.521	12.081	15.751	14.641		12.511	12.271	13.461	13.581	14.461	13.361	14.731	15.321	11.351	15.181	14.771						12.678
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.691	12.071	nan	11.931	nan	nan	nan	nan	nan	nan	nan	nan	14.401	14.521	11.981	15.781	14.651		12.471	12.311	13.461	13.551	14.381	13.301	14.781	15.281	11.311	15.171	14.701						12.703
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.641	11.971	nan	11.881	nan	nan	nan	nan	nan	nan	nan	nan	14.411	14.531	11.901	15.801	14.671		12.441	12.291	13.511	13.501	14.381	13.251	14.831	15.241	11.391	15.121	14.641						12.633
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.601	11.831	nan	11.861	nan	nan	nan	nan	nan	nan	nan	nan	14.421	14.511	11.801	15.841	14.701		12.421	12.091	13.541	13.451	14.351		14.871	15.221	11.481	15.061	14.591						12.623
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.641	11.761	nan	11.831	nan	nan	nan	nan	11.711	nan	nan	nan	14.421	14.541	11.691	15.871	14.771		12.391	11.921	13.541	13.421	14.291		14.891	15.201	11.511	14.981	14.551						12.643
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.691	11.711	nan	11.801	nan	nan	nan	nan	11.721	nan	nan	nan	14.401	14.531	11.621	15.891	14.871		12.331	11.821	13.591	13.401	14.221		14.881	15.201	11.591	14.991	14.461						12.643
	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.711	11.661	nan	11.691	nan	nan	nan	nan	11.711	nan	nan	nan	14.391	14.511	11.561	15.941	14.981		12.301	11.811	13.661	13.371	14.111		14.871	15.161	11.791	14.991	14.351						12.643
	14.951	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.741	11.601	nan	11.591	nan	nan	nan	nan	11.701	nan	nan	nan	14.361	14.511	11.531	15.961	15.071			11.881	13.791		13.981		14.861	15.091	11.941	14.961	14.241						12.628
	14.951	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.741	11.561	nan	11.481	nan	nan	nan	nan	11.731	nan	nan	nan	14.301	14.451	11.491	15.991	15.151			11.901	13.811		13.861		14.871	15.001	12.051	14.971	14.191						12.593
	14.951	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.741	11.611	nan	11.331	nan	nan	nan	nan	11.751	nan	nan	nan	14.261	14.331	11.391	16.031	15.211			11.981	13.831		13.741		14.831	15.021	12.041	14.991	14.131						12.623
	14.931	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.771	11.571	nan	11.131	nan	nan	nan	nan	11.731	nan	nan	nan	14.201	14.211	11.201	16.061	15.231			12.131	13.821		13.681		14.791	15.021	11.961	15.051	14.071						12.628
	14.901	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.801	11.531	nan	10.961	nan	nan	nan	nan	11.711	nan	nan	nan	14.141	14.081	11.061	16.111				12.241	13.791		13.651		14.731	15.031	11.921	15.161	14.051						12.573
	14.841	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.811	11.491	nan	10.761	nan	nan	nan	nan	11.681	nan	nan	nan	14.061	13.961	11.121	16.131				12.381	13.711		13.691		14.711	15.031	11.991	15.201	14.021						12.413
	14.781	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.811	11.481	nan	nan	nan	nan	nan	nan	11.641	nan	nan	nan	14.011	13.841	11.141	16.161				12.451	13.611		13.731		14.701	14.991	12.081	15.211	13.991						12.348
	14.711	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.811	11.431	nan	nan	nan	nan	nan	nan	11.591	nan	nan	nan	14.061	13.691	11.181	16.191				12.421	13.541		13.781		14.691	14.951	12.211	15.231	13.951						12.428
	14.641	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.811	11.561	nan	nan	nan	nan	nan	nan	11.641	nan	nan	nan	14.111	13.731	11.261	16.211				12.391	13.571		13.831		14.691	14.931	12.301	15.251	13.921						12.513
	14.601	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.821	11.731	nan	nan	nan	nan	nan	nan	11.761	nan	nan	nan	14.261	13.761	11.431	16.231				12.351	13.601		13.901		14.691	14.931	12.421	15.271	13.911						12.543
	14.551	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.791	11.791	nan	nan	nan	nan	nan	nan	11.811	nan	nan	nan	14.351	13.811	11.491	16.251				12.271	13.591		13.961		14.671	14.931	12.491	15.291	13.911						12.538
	14.581	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.721	11.811	nan	nan	nan	nan	nan	nan	11.741	nan	nan	nan	14.371	13.851	11.581	16.251				12.151	13.541		14.011		14.651	14.931	12.491	15.341	13.901						12.508
	14.631	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.681	11.841	nan	nan	nan	nan	nan	nan	11.551	nan	nan	nan	14.411	13.871	11.651	16.251			11.581	12.011	13.511		14.061		14.641	14.891	12.551	15.381	13.881						12.468
