		5.525	6.095	7.605	6.095	8.145		7.855	6.945		5.455		9.415					8.265		8.435	8.515		6.385	6.285	6.585		5.695	8.595	8.675	10.105	7.815	8.905	9.835	4.375	9.325	9.635	5.405					8.389
		5.655	6.085	7.655	6.085	8.115		7.945	6.835		5.415		9.355				7.075	8.295		8.485	8.485		6.355	6.225	6.625		5.665	8.495	8.575	10.065	7.625	8.765	9.785	4.225	9.175	9.605	5.415					8.281
		5.695	6.065	7.595	6.075	8.095		8.015	6.725		5.415		9.285				7.085	8.305		8.535	8.485		6.345	6.115	6.645		5.685	8.455	8.525	10.005	7.515	8.715	9.775	4.215	8.995	9.555	5.655					8.176
		5.725	6.055	7.545	6.055	8.065		8.025	6.645		5.495		9.235				7.085	8.195		8.575	8.485		6.355	5.965	6.625		5.765	8.475	8.605	9.965	7.475	8.695	9.715	4.245	8.925	9.525	5.805					8.053
			6.045	7.495	6.045	8.035		8.035	6.565		5.665		9.145				7.075	8.095		8.605	8.485		6.335	5.875	6.495		5.815	8.465	8.835	9.905	7.435	8.665	9.605	4.255	8.825	9.475	5.915					7.971
			6.025	7.405	6.035	8.005		8.055	6.505		5.675		9.065					8.525		8.645	8.535		6.305	5.775	6.305		5.875	8.395	9.015	9.785	7.395	8.635	9.605	4.295	8.755	9.435	6.045					7.869
			6.015	7.315	6.035	7.995		8.075	6.465		5.585		9.005					7.955		8.675	8.575		6.255	5.615	6.145		5.965	8.415	9.215	9.695	7.355	8.595	9.565	4.305	8.715	9.375	6.105					7.788
			6.005	7.275	6.025	7.975		8.075	6.425		5.615		8.945					7.875		8.715	8.605		6.245	5.525	6.025		6.075	8.525	9.375	9.605	7.285	8.545	9.555	4.335	8.685	9.315	6.195					7.742
			6.005	7.215	6.015	7.965		8.055	6.385		5.745		8.885					7.775		8.705	8.605		6.235	5.405	5.935		6.095	8.625	9.435	9.545	7.235	8.485	9.555	4.345	8.685	9.265	6.295					7.68
			5.995	7.125	6.005	7.965		8.005	6.345		5.835		8.815					7.665		8.685	8.605		6.245	5.335	5.895		6.115	8.575	9.455	9.455	7.225	8.445	9.545	4.345	8.705	9.205	6.325					7.589
			5.985	7.015	6.015	7.995		7.985	6.325		6.085		8.735					7.575		8.655	8.595		6.265	5.265	5.895		6.155	8.525	9.455	9.365	7.265	8.485	9.545	4.345	8.715	9.115	6.365					7.523
			5.975	6.915	6.005	8.035		7.955	6.275		6.175		8.635					7.475		8.665	8.585		6.305	5.225	5.895		6.355	8.375	9.455	9.275	7.295	8.585	9.535	4.325	8.735	8.995	6.375					7.437
			5.965	6.715	6.005	8.085		7.935	6.235		6.185		8.515					7.375		8.665	8.585		6.355	5.225	5.905		6.355	8.255	9.435	9.175	7.235	8.665	9.475	4.325	8.755	8.915	6.375					7.486
			5.965	6.525	5.995	8.135		7.915	6.195		6.175		8.395					7.275		8.665	8.565		6.385	5.215	5.915		6.465	8.205	9.365	9.005	7.105	8.785	9.435	4.345	8.865	8.815	6.365					7.547
			5.955	6.315	5.995	8.155		7.875			6.165		8.275					7.225		8.645	8.535		6.425	5.175	5.915		6.435	8.195	9.325	8.845	7.105	8.915	9.395	4.305	8.895	8.715	6.305					7.565
			5.945	6.265	5.995	8.185		7.855			6.125		8.185					7.225		8.595	8.495		6.445	5.155	5.905		6.285	8.175	9.265	8.645	7.035	9.015	9.355	4.265	8.835	8.605	6.295					7.482
			5.935	6.355	6.075	8.195		7.865			6.035		8.135					7.225		8.525	8.475		6.455	5.205	5.905		6.115	8.275	9.185	8.475	6.945	9.085	9.325	4.345	8.775	8.515	6.265					7.415
			5.925	6.405	6.285	8.215		7.905			5.835		8.115					7.275		8.455	8.425		6.475	5.265	5.945		5.985	8.355	9.125	8.335	6.815	9.125	9.305	4.435	8.735	8.395	6.225					7.412
			5.925	6.455	6.465	8.205		7.915			5.745		8.105					7.335		8.395	8.355		6.515	5.325	5.975		5.905	8.385	9.025	8.195	6.685	9.135	9.305	4.485	8.695	8.275	6.195					7.44
			5.925	6.535	6.655	8.195		7.925			5.675		8.095					7.395		8.345	8.315		6.545	5.445	5.995		5.885	8.475	8.805	8.095	6.595	9.115	9.275	4.595	8.675	8.155	6.205					7.446
	4.905	4.705	5.915		6.815	8.155		7.925		6.985	5.515	5.775	8.105	6.115				7.475		8.265	8.275		6.575	5.685	6.035	6.045	5.905	8.685	8.745	7.965	6.555	9.105	9.235	4.785	8.655	7.965	6.225					7.45
	4.855	4.645	5.905		6.885	8.115		7.935		7.115	5.395	5.935	8.115	6.055				7.565		8.285	8.175		6.595	5.765	6.095	6.045	5.965	8.715	8.595	7.825	6.525	9.105	9.195	4.965	8.625	7.905	6.185					7.424
	4.815	4.615	5.905		6.905	8.065		7.955		7.285	5.265	6.225	8.115	5.945				7.665		8.305	8.075		6.625	5.825	6.175	5.995	5.975	8.745	8.475	7.725	6.425	9.095	9.165	5.085	8.635	7.755	6.175					7.423
	4.725	4.685	5.895		6.915	8.015		7.965		7.375	5.185	6.415	8.075	5.855				7.775		8.355	7.975		6.655	5.875	6.255	5.885	6.105	8.785	8.445	7.675	6.065	9.025	9.155	5.075	8.685	7.685	6.225					7.447
	4.705	4.885	5.885		6.895	7.975		7.975		7.425	5.125	6.255	8.015	5.885				7.865		8.395	7.875		6.695	5.915	6.235	5.825	6.235	8.725	8.485	7.645	6.045	8.975	9.155	5.485	8.765	7.615	6.215					7.418
	4.665	5.025	5.885		6.865	7.965		7.965		7.465	5.095	6.185	7.945	5.905				7.935		8.435	7.805		6.715	5.935	6.155	5.715	6.325	8.585	8.605	7.545	5.965	8.945	9.125	4.995	8.835	7.545	6.235					7.325
	4.625	5.545	5.885		6.835	7.965		7.965		7.515	4.945	5.995	7.885	5.935				7.965		8.505	7.755		6.725	5.975	6.085	5.625	6.395	8.465	8.685	7.455	5.985	8.945	9.125	5.045	8.895	7.485	6.295					7.198
	4.565	5.435	5.885		6.795	7.935		7.975		7.565	4.915	5.755	7.805	6.085	6.085			8.015		8.595	7.715		6.765	5.985	6.225	5.555	6.355	8.425	8.765	7.475	5.945	8.905	9.105	5.125	8.935	7.435	6.315					7.191
	4.475	5.535	5.875		6.815	7.885		7.965		7.565	5.005	5.635	7.745	6.135	6.275			8.035		8.755	7.665		6.815	5.995	6.545	5.545	6.325	8.455	8.835	7.485	6.025	8.905	9.065	5.295	8.935	7.375	6.295					7.307
	4.385	5.615	5.875		6.885	7.875		7.925		7.545	5.155	5.615	7.725	6.215	6.475			8.035		8.925	7.595		6.835	6.015	6.815	5.565	6.205	8.485	8.875	7.695	6.275	8.925	9.035	5.395	8.955	7.325	6.265					
	4.295	5.565	5.875		7.005	7.845		7.885		7.495	5.335		7.815	6.215	6.565			8.015		8.975	7.505		6.855	6.025	6.925	5.555	6.075	8.475	8.905	7.755	6.355	8.945	9.025	5.505	8.995	7.275	6.245					
	4.245	5.535	5.875		7.135	7.795		7.845		7.445	5.425		7.885	6.105	6.645			7.945		9.025	7.455		6.885	6.025	6.965	5.475	5.995	8.445	8.885	8.025	6.535	8.915	8.945	5.605	9.015	7.215	6.255					7.375
	4.185	5.605	5.915		7.235	7.725		7.805		7.385	5.455		7.955	5.885	6.825			7.915		9.125	7.395		6.915	6.035	7.045	5.425	5.905	8.375	8.865	8.135	6.675	8.885	8.995	5.585	9.065	7.155	6.285					7.358
	4.195	5.795	6.015		7.315	7.655		7.745		7.335	5.495		8.025	5.795	7.015			7.885		9.215	7.275		6.925	6.065	7.105	5.385	5.755	8.285	8.885	8.225	6.785	8.895	8.935	5.635	9.115	7.135	6.215					7.29
	4.295	5.785	6.155		7.395	7.575		7.675		7.325	5.475		8.085	5.715	7.175			7.895		9.295	7.185		6.945	6.045	7.085	5.385	5.645	8.095	8.865	8.305	6.915	8.945	8.895	5.695	9.145	7.115	6.235					7.177
	4.395	5.665	6.235		7.445	7.445		7.575		7.325	5.385	5.315	8.145	5.655	7.245			7.905		9.385	7.085		6.955	6.035	7.015	5.435	5.625	7.955	8.775	8.355	6.645	8.965	8.855	5.725	9.155	7.085	6.265					7.051
	4.295	5.605	6.265		7.465	7.435		7.455		7.345	5.285	5.395	8.175	5.625	7.315			7.905		9.455	6.955		6.965	6.035	6.925	5.545	5.695	7.845	8.675	8.355	6.595	9.015	8.805	6.125	9.175	7.075	6.375					6.963
	4.195	5.285	6.245		7.465	7.475		7.345		7.405	5.285	5.355	8.195	5.625	7.305			7.945		9.525	6.915		6.985	6.025	6.835	5.715	5.835	7.735	8.565	8.345	6.595	9.075	8.745	6.465	9.195	7.095	6.515					6.939
	4.295		6.205		7.455	7.485		7.235		7.435	5.435	5.295	8.255	5.695	7.295			8.005		9.585	6.985		7.005	6.005	6.775	5.865	6.075	7.745	8.485	8.335	6.635	9.095	8.765	6.425	9.205	7.115	6.635					6.872
	4.395		6.155		7.415	7.475		7.155		7.475	5.565	5.145	8.305	5.845	7.255			8.065		9.635	7.105		7.015	5.995	6.765	6.095	6.295	7.675	8.385	8.375	6.895	9.115	8.825	6.435	9.215	7.115	6.765					6.495
