	7.01	5.18	5.69					
	7.06	5.23	5.70					
	7.12	5.27	5.72					
	7.20	5.31	5.73					
	7.26	5.35	5.74					
	7.30	5.37	5.74					
8.79	7.31	5.41	5.75					
8.78	7.36	5.43	5.80					
8.77	7.39	5.46	5.81					
8.78	7.40	5.51	5.82					
8.78	7.41	5.55	5.82					
8.78	7.42	5.56	5.82					
8.79	7.43	5.56	5.82					
8.76	7.43	5.57	5.86					
8.73	7.46	5.58	5.89					
8.72	7.46	5.58	5.91				6.175555556	
8.72	7.47	5.58	5.95				6.171666667	
8.72	7.49	5.56	5.98				6.180434783	
8.73	7.50	5.51	5.99				6.184375	
8.75	7.51	5.49	5.99				6.1825	
8.76	7.51	5.47	6.01				6.186666667	
8.76	7.53	5.52	6.01				6.204285714	
8.76	7.55	5.52	6.01				6.211666667	
8.76	7.55	5.48	6.01				6.225	
8.78	7.57	5.49	6.01				6.272666667	
8.81	7.59	5.52	5.99				6.282916667	
8.86	7.61	5.56	5.98				6.3	
8.91	7.65	5.57	5.97				6.322173913	
8.94	7.68	5.59	5.96				6.341875	
8.98	7.71	5.60	5.95				6.366666667	
9.03	7.74	5.61	5.95				6.392173913	
9.09	7.79	5.62	5.93				6.426666667	
9.15	7.83		5.95				6.452727273	
9.20	7.87		5.96				6.493043478	
9.24	7.92		5.96				6.51375	
9.25	8.00		5.96				6.537647059	
9.19	8.07	5.61	5.94				6.653333333	
9.12	8.13	5.60	5.93				6.660666667	
9.12	8.20	5.60	5.93				6.666111111	
9.13	8.26	5.58	5.94					
9.16	8.31	5.56	5.95					
9.16	8.35	5.55	5.96					
9.17	8.39	5.51	5.96				6.669230769	
9.16	8.43	5.47	5.96				6.668695652	
	8.46	5.42	5.96				6.67173913	
	8.51	5.38	5.96				6.673	
	8.55	5.30	5.94				6.67625	
9.22	8.59	5.22	5.95				6.672777778	
9.22	8.62	5.12	5.95				6.678666667	
9.24	8.69	5.05	5.95				6.68125	
9.25	8.74	5.01	5.94				6.6875	
9.20	8.78	4.97	5.93				6.68826087	
9.19	8.82	4.91	5.93				6.67125	
9.17	8.83	4.86	5.92				6.65	
9.17	8.86	4.82	5.90				6.624166667	
9.13	8.86	4.76	5.90				6.587391304	
9.09	8.86	4.68	5.90				6.55125	
9.05	8.86	4.59	5.89				6.50625	
8.99	8.84	4.52	5.86				6.466521739	
8.95	8.82	4.25	5.84				6.415	
8.96	8.81	4.39	5.80				6.3475	
8.91	8.80	4.35	5.72				6.275833333	
8.87	8.79	4.29	5.66				6.203043478	
8.75	8.79	4.23	5.64				6.127916667	
8.81	8.79	4.16	5.63				6.042083333	
8.78	8.78	4.12	5.59				5.957083333	
8.74	8.76	4.08	5.53				5.894583333	
